,summary,Hazard,Mitigation,Adaptation,Causes,Impacts,word
cold,322.46302932024304,0.17163072097542714,-2.9990684843560453,-4.60385087796317,-0.06455637223720487,-0.15982950005414034,cold
hab+d cold,6.825148237808944,0.04241310703181009,-0.806885460162618,-0.7484764467260802,0.016057176202099434,0.014895217725678726,hab+d cold
heart,5.782291131483847,-0.07344442980864456,-0.6410713931747687,1.4304619269508254,-0.06933547682266136,-0.059209482995445185,heart
cold heart,5.27318705182599,0.018720630433509522,-0.5489063329326146,-0.4904973194960766,0.02282958341949265,0.03295557724670883,cold heart
but,7.1460442783406615,0.07707087961564224,-0.8528303553253481,-0.7944213418888104,-0.02001313707933784,-0.031025284260007103,but
heart but,4.466589745568341,0.0008856128264403346,-0.3828965965010347,-0.3244875830644967,0.027060453238477975,0.04494550585137998,heart but
softened,4.054731031082779,-0.010630030448345236,-0.28615575468020865,-0.22774674124367078,0.02946150053104526,0.05206549723111074,softened
but softened,4.054731031082779,-0.010630030448345236,-0.28615575468020865,-0.22774674124367078,0.02946150053104526,0.05206549723111074,but softened
valued,3.6306851807698797,-0.024939884620732544,-0.17569278499977448,-0.11728377156323673,0.03213279083914931,0.06031733364024572,valued
the,187.87163520335244,0.1566913532054975,-0.9701949495525933,-1.2449895970692115,-0.07841552001981272,-0.18597330131718232,the
valued the,3.484868726716037,-0.030596225521904448,-0.13470177491778698,-0.0762927614812491,0.03310274573877655,0.06341323141033035,valued the
people,5.511065090440969,0.0245105474658652,-0.5930293053369529,-0.5346202919004146,0.02001384886075308,0.02822242978432852,people
the people,3.4161655626652125,-0.03341610457636396,-0.11479014107619434,-0.056381127639656275,0.03356943985313885,0.06492380582702748,the people
around,7.331004884417167,0.04824843688155198,-0.878383998012089,-0.8199749845755511,0.014153389180304522,0.010015172054249752,around
people around,3.314324406924921,-0.03779606481676601,-0.0845252035539937,-0.02611619011745576,0.03427300052762067,0.0672283415470829,people around
him,3.8503596761327605,-0.017166857158968922,-0.23443796581022078,-0.17602895237368282,0.030722165554780845,0.05591256817371601,him
around him,3.2300683312750884,-0.04161459735471008,-0.05877469170630346,-0.00036567826976537793,0.034865949177760154,0.0691973034137555,around him
and,109.48480440693271,0.13256640304236056,-0.6941262995388259,0.002103280112470646,-0.1043239350456464,-0.19092937415390987,and
him and,3.1879863276921596,-0.043592630865075845,-0.045660871742007024,0.012748141694530795,0.03516586313622611,0.07020294551794279,him and
finally,4.0136425674197795,-0.028171459328776946,-0.2759705994288864,-0.21756158599234865,0.07049275571553476,0.03943433174523065,finally
and finally,3.1141662459298463,-0.047183941621557264,-0.022232858107219793,0.0361761553293181,0.03569813565764286,0.07200449164753396,and finally
able,3.051280876141437,-0.050372582448903004,-0.0018328613536718991,0.05657615208286614,0.03615785440638856,0.07357841413286612,able
finally able,3.051280876141437,-0.050372582448903004,-0.0018328613536718991,0.05657615208286614,0.03615785440638856,0.07357841413286612,finally able
express,2.996855516563083,-0.05323451890684955,0.016165022680595966,0.0745740361171336,0.036560473177009056,0.0749710859520029,express
able express,2.996855516563083,-0.05323451890684955,0.016165022680595966,0.0745740361171336,0.036560473177009056,0.0749710859520029,able express
that,21.758693468814784,0.11576891819235385,-1.9662847768936433,-1.9078757634571053,-0.015094855419760318,-0.07113092860809217,that
express that,2.9491370190112742,-0.05582630876261319,0.03221600887165418,0.09062502230819208,0.03691714869845766,0.07621636540585514,express that
View,2.916965369302735,-0.05761925420233615,0.043184781708024984,0.10159379514456285,0.03715957444109521,0.07706913455549955,View
Entire,2.8921779079573966,-0.059026635008542175,0.05171878081926943,0.11012779425580733,0.03734744057599074,0.07773361919228033,Entire
view entire,2.8921779079573966,-0.059026635008542175,0.05171878081926943,0.11012779425580733,0.03734744057599074,0.07773361919228033,view entire
Post,2.860162366886294,-0.06087891744274318,0.06285020563914263,0.12125921907568048,0.03759149299225525,0.07860168067095295,Post
entire post,2.860162366886294,-0.06087891744274318,0.06285020563914263,0.12125921907568048,0.03759149299225525,0.07860168067095295,entire post
turns,2.8152207333309023,-0.06354710970865338,0.07868792871910331,0.1370969421556412,0.03793676950066439,0.07983937253379057,turns
post turns,2.8152207333309023,-0.06354710970865338,0.07868792871910331,0.1370969421556412,0.03793676950066439,0.07983937253379057,post turns
out,12.086169379773159,-0.0045913642397911285,1.038878663587775,-1.3199241584501409,-0.05213326925035327,-0.11329120140186502,out
turns out,2.7930540124727603,-0.06489349455192395,0.08659297520683594,0.14500198864337382,0.03810823587236177,0.08045829799765714,turns out
out the,2.779078756152865,-0.06575295025439971,0.09160911039367266,0.1500181238302105,0.03821673619935691,0.08085143888659792,out the
orphanage,2.765692508039378,-0.0665840205537005,0.09643754189521915,0.1548465553317571,0.03832095271001948,0.08123016487178095,orphanage
the orphanage,2.765692508039378,-0.0665840205537005,0.09643754189521915,0.1548465553317571,0.03832095271001948,0.08123016487178095,the orphanage
selling,2.7229273278386197,-0.06929180072865683,0.1120210754333325,0.17043008886987032,0.03865579755727505,0.08245447939650567,selling
orphanage selling,2.7229273278386197,-0.06929180072865683,0.1120210754333325,0.17043008886987032,0.03865579755727505,0.08245447939650567,orphanage selling
selling the,2.779078756152865,-0.06575295025439971,0.09160911039367266,0.1500181238302105,0.03821673619935691,0.08085143888659792,selling the
candy,2.6905673056602666,-0.07139597428847409,0.12397653482185143,0.1823855482583891,0.03891110822816125,0.08339583440452218,candy
the candy,2.6905673056602666,-0.07139597428847409,0.12397653482185143,0.1823855482583891,0.03891110822816125,0.08339583440452218,the candy
black,2.666112528002584,-0.0730188984542643,0.13310717107915154,0.19151618451568933,0.03910516168049593,0.08411599248535946,black
candy black,2.666112528002584,-0.0730188984542643,0.13310717107915154,0.19151618451568933,0.03910516168049593,0.08411599248535946,candy black
market,2.6523957333181665,-0.07394189753273865,0.13826531859849858,0.19667433203503637,0.03921442795095125,0.08452330145783689,market
black market,2.6523957333181665,-0.07394189753273865,0.13826531859849858,0.19667433203503637,0.03921442795095125,0.08452330145783689,black market
prices,2.6372076962732987,-0.0749747625054889,0.14400793389501326,0.20241694733155102,0.0393357676776722,0.08497716504739986,prices
market price+s,2.6372076962732987,-0.0749747625054889,0.14400793389501326,0.20241694733155102,0.0393357676776722,0.08497716504739986,market price+s
instead,2.6208296103632973,-0.0761015832597633,0.1502376876696871,0.20864670110622496,0.039467032301739105,0.08547001083735632,instead
price+s instead,2.6208296103632973,-0.0761015832597633,0.1502376876696871,0.20864670110622496,0.039467032301739105,0.08547001083735632,price+s instead
giving,2.5998388758339597,-0.07756593580846886,0.1582791282239473,0.21668814166048492,0.03963590038807812,0.08610692643141139,giving
instead giving,2.5998388758339597,-0.07756593580846886,0.1582791282239473,0.21668814166048492,0.03963590038807812,0.08610692643141139,instead giving
giving the,2.779078756152865,-0.06575295025439971,0.09160911039367266,0.1500181238302105,0.03821673619935691,0.08085143888659792,giving the
kids,2.570416407562525,-0.07965769182021554,0.16966068842681262,0.22806970186335052,0.03987380413970078,0.08700983587042768,kids
the kids,2.570416407562525,-0.07965769182021554,0.16966068842681262,0.22806970186335052,0.03987380413970078,0.08700983587042768,the kids
Charles,2.560799882744378,-0.08035152859816849,0.1734089366131728,0.23181795004971087,0.03995186650569812,0.08730755983795548,Charles
corners,2.548534026810727,-0.08124393302137126,0.17821029808790767,0.23661931152444568,0.0400516534563809,0.0876892033566354,corners
charles corner+s,2.548534026810727,-0.08124393302137126,0.17821029808790767,0.23661931152444568,0.0400516534563809,0.0876892033566354,charles corner+s
corner+s the,2.5368569326595916,-0.08210133464179466,0.18280271380066612,0.24121172723720383,0.04014687853420116,0.0880545237685333,corner+s the
charity,2.531224634036369,-0.08251765603476083,0.18502536979695364,0.24343438323349167,0.04019288868250809,0.08823143346790002,charity
the charity,2.531224634036369,-0.08251765603476083,0.18502536979695364,0.24343438323349167,0.04019288868250809,0.08823143346790002,the charity
guy,3.154510461548376,-0.04520157799633289,-0.03510472071397856,0.0233042927225593,0.035406258120883424,0.07101389366348772,guy
charity guy,2.5203461970655434,-0.08332690779543289,0.1893323286225126,0.2477413420590505,0.040281901081551504,0.08857442779300083,charity guy
guy and,2.5150903603167913,-0.08372034654349454,0.19141986903634803,0.24982888247288593,0.040324976035397433,0.08874076269556416,guy and
yells,2.5099507333889375,-0.08410664643958732,0.19346547567885883,0.2518744891153967,0.04036714223981346,0.0889038127700418,yells
and yells,2.5099507333889375,-0.08410664643958732,0.19346547567885883,0.2518744891153967,0.04036714223981346,0.0889038127700418,and yells
yells him,2.4987898342283463,-0.08495087255752871,0.19792205213044423,0.25633106556698193,0.040458856535842795,0.08925922895786753,yells him
Then,2.4928178327865758,-0.08540564633133904,0.20031487011197913,0.25872388354851705,0.04050801494077974,0.08945016834889394,Then
the+n the,2.487000089939911,-0.085850732882393,0.20265139951273536,0.2610604129492734,0.0405559596971324,0.08963669034896925,the+n the
the guy,2.4824525388120593,-0.08620006863087146,0.20448160204688556,0.2628906154834236,0.04059347522543723,0.08978284428855979,the guy
apologizes,2.477996324969902,-0.08654360875368575,0.20627830035516231,0.2646873137917,0.04063027010584422,0.08992636661997941,apologizes
guy apologizes,2.477996324969902,-0.08654360875368575,0.20627830035516231,0.2646873137917,0.04063027010584422,0.08992636661997941,guy apologizes
apologizes and,2.4661884298303143,-0.08745980220948242,0.21105478755164434,0.26946380098818234,0.04072792496687361,0.09030813001708478,apologizes and
explains,2.4620488312747995,-0.08778304420914297,0.21273473894593398,0.2711437523824719,0.040762214775570405,0.09044247448981836,explains
and explains,2.4620488312747995,-0.08778304420914297,0.21273473894593398,0.2711437523824719,0.040762214775570405,0.09044247448981836,and explains
ye…,2.4520362620523994,-0.08856931502133038,0.21680979376815485,0.2752188072046926,0.04084526865383701,0.09076851278690029,ye…
explains ye…,2.4520362620523994,-0.08856931502133038,0.21680979376815485,0.2752188072046926,0.04084526865383701,0.09076851278690029,explains ye…
+194,2.4472014732791516,-0.08895124858005682,0.21878348461718475,0.2771924980537227,0.04088543186935778,0.0909265056639325,+194
ye… +194,2.4472014732791516,-0.08895124858005682,0.21878348461718475,0.2771924980537227,0.04088543186935778,0.0909265056639325,ye… +194
chars,40.607748173202936,0.11291200797117776,-0.43342920342604463,-0.37653299848916183,-0.07175003239500932,-0.14582605921862146,chars
+194 char+s,2.4424752754155152,-0.08932604184405914,0.22071661826930897,0.27912563170584687,0.04092473004270809,0.0910813034217509,+194 char+s
Severe,8.255071616424514,0.046942122511658586,-0.9970991523572772,-0.9386901389207392,0.003230469899689062,0.04111779991482974,Severe
storms,6.230360581729366,0.02412449071259012,-0.7157056089136763,-0.6572965954771383,-0.00526346289966596,0.07897065426390443,storms
sever+e storms,6.230360581729366,0.02412449071259012,-0.7157056089136763,-0.6572965954771383,-0.00526346289966596,0.07897065426390443,sever+e storms
Saturday,9.08301695514779,0.017800033266414293,0.5096308903491512,-1.0342687872740541,-0.051774497262750546,-0.0006187543407773514,Saturday
storms saturday,3.348421856029752,-0.08902826257200032,-0.09476054658994663,-0.03635153315340866,-0.010824469696917043,0.23334627529707885,storms saturday
Possible,3.58601284142783,-0.11197851255954956,-0.16331235566786556,-0.10490334223132756,-0.04059035906761504,0.31846572130180867,Possible
saturday possible,3.58601284142783,-0.11197851255954956,-0.16331235566786556,-0.10490334223132756,-0.04059035906761504,0.31846572130180867,saturday possible
impacts,5.799884913433724,-0.21713736118613253,-0.6441094743460618,-0.585700460909524,-0.19844036986395852,0.6402622904807401,impacts
possible impacts,4.075115740829491,-0.1929801133863806,-0.29117054844900236,-0.23276153501246447,-0.12842959989983074,0.5306101294392944,possible impacts
SHREVEPORT,5.523997334756595,-0.018179871533728246,-0.5953731525645859,-0.536964139128048,-0.015168933433372197,0.17526323388538734,SHREVEPORT
impacts shreveport,3.852843997296839,-0.08433007531421703,-0.23508297569325895,-0.17667396225672105,-0.02725739985433508,0.2679901806970785,impacts shreveport
KTAL/KMSS,6.568579118858136,0.03916474977962505,-0.7685689405510684,-0.7101599271145305,0.017073845916604238,0.01753312090708812,KTAL/KMSS
ktal/kms+s cold,11.199059187471974,0.0776880331927677,-1.3021011731561638,-1.243692159719626,0.0028278695223689686,-0.01772940832936206,ktal/kms+s cold
front,77.69183739533908,0.05235318956542933,-1.555092351719576,-3.1806125850935705,0.20151372921117078,-0.21910120939816952,front
cold front,75.33085548271991,0.06720837845807776,-1.5242319709323742,-3.1497522043063686,0.1662782786126712,-0.20351328218464107,cold front
move,9.470231728328061,0.045338796335576415,-1.1344247761290003,-1.0760157626924622,0.06557800053905873,-0.025954643650153906,move
front move,8.506325173848055,0.040486246606795034,-1.027081424364543,-0.9686724109280054,0.06122298132318796,-0.016520365064430564,front move
through,23.06185257345615,0.08280336741786522,-0.267340319155333,-1.9660422347764746,0.008587733677833814,-0.102285297356703,through
move through,7.831336403304839,0.039040340057011916,-0.944404572246832,-0.8859955588102941,0.05095337507801795,-0.006875137031841491,move through
through the,17.264135661211423,0.08191263198950814,-0.2081419901277192,-1.6764936525908605,-0.012869587473869914,-0.08271866130939254,through the
ArkLaTex,5.269142988953296,0.010413070705364846,-0.5481391281390986,-0.4897301147025606,0.044414616895396684,0.026069616507766857,ArkLaTex
the arklatex,5.269142988953296,0.010413070705364846,-0.5481391281390986,-0.4897301147025606,0.044414616895396684,0.026069616507766857,the arklatex
arklatex saturday,4.932206033640049,0.005494307336771131,-0.48205775879772267,-0.423648745361185,0.04104084731911213,0.03245061715156404,arklatex saturday
night,17.306516265155945,0.09908756923395512,-1.7373544928118942,-1.6789454793753564,-0.0007472217128312542,-0.049149267327202484,night
saturday night,4.680801801673639,0.001059374523590751,-0.42974081990099927,-0.37133180646446134,0.03912831298721146,0.037280656420533735,saturday night
night and,4.544580896537527,-0.0016425712502318758,-0.4002069108966939,-0.3417978974601559,0.03829758952640791,0.039936710875197866,night and
bring,8.222856016294497,0.06440624598239532,-0.9931889954620283,-0.9347799820254904,0.007290834427396417,-0.013814994109665527,bring
and bring,4.37349059823843,-0.005358882377881924,-0.3618328536663252,-0.3034238402297873,0.03745159343646982,0.04332338364734715,and bring
bring the,5.461071215096236,0.012731896317186138,-0.5839163632564858,-0.5255073498199481,0.04677479403032154,0.022454230897768074,bring the
threat,4.217685260590037,-0.009080045559856538,-0.32555786061186204,-0.26714884717532417,0.03686684055679993,0.046467018561413394,threat
the threat,4.217685260590037,-0.009080045559856538,-0.32555786061186204,-0.26714884717532417,0.03686684055679993,0.046467018561413394,the threat
thunderstorms,5.872917331184183,0.04460642221860696,-0.6566228998636383,-0.5982138864271003,0.0026912588359732778,0.005695164229726988,thunderstorms
threat thunderstorms,4.191154879399278,-0.00795405388302352,-0.319247722999328,-0.2608387095627902,0.03217328256188145,0.04849118036439276,threat thunderstorms
...,11.16302143861467,0.008039212866528497,0.8543706317388495,-1.2404690446027482,-0.020354027760009583,-0.11816069214075252,...
storms ...,3.5850666859943288,-0.026663712908999364,-0.16304847477367837,-0.10463946133714062,0.03243328353794118,0.06127033567658537,storms ...
... shreveport,3.6801395488411015,-0.02311567067397263,-0.1892220718445756,-0.13081305840803767,0.03181001529392488,0.05929957036667125,... shreveport
possible,6.600266381647424,-0.006497842244319649,-0.7733814085755532,-0.7149723951390152,0.003555920892473233,0.149983151463097,possible
storms possible,2.8109270418351464,-0.06516568269878681,0.08021426343369846,0.13862327687023657,0.04129093154862606,0.07888792825315322,storms possible
SPC,2.7718735439953917,-0.06742104595209288,0.0942051392602248,0.1526141526967628,0.04125127232633369,0.08009455995554837,SPC
outlook,2.7587830702578784,-0.06819361902110858,0.09893893457448787,0.15734794801102564,0.041243665881805704,0.08050136458440292,outlook
spc outlook,2.7587830702578784,-0.06819361902110858,0.09893893457448787,0.15734794801102564,0.041243665881805704,0.08050136458440292,spc outlook
The,54.685821453172366,0.13115256720562818,-2.8878758697210554,-0.9339875178623501,-0.02300343659535507,-0.13227608963875356,The
outlook the,2.728294389120706,-0.07002611084844736,0.11005195243853817,0.16846096587507609,0.04123683442801568,0.08145365396741047,outlook the
Storm,6.196544395530593,0.021163878570806007,-0.7102631806130971,-0.6518541671765593,0.06471716666809678,-0.0064379639290631325,Storm
the storm,2.7169084351273107,-0.07072253742096031,0.11423397134774549,0.17264298478428325,0.04123814450854185,0.08181106952909216,the storm
Prediction…,2.7006082321067653,-0.0717311946616276,0.12025158170681813,0.17866059514335597,0.041243629984412895,0.082324495984588,Prediction…
storm prediction…,2.7006082321067653,-0.0717311946616276,0.12025158170681813,0.17866059514335597,0.041243629984412895,0.082324495984588,storm prediction…
+1855,2.668146657712326,-0.07378156473556802,0.13234450479784768,0.19075351823438572,0.0412670520594523,0.08335332620405583,+1855
prediction… +1855,2.668146657712326,-0.07378156473556802,0.13234450479784768,0.19075351823438572,0.0412670520594523,0.08335332620405583,prediction… +1855
+1855 char+s,2.654331239223151,-0.07467135129993767,0.13753586483129937,0.19594487826783727,0.04128199890656872,0.08379384769063786,+1855 char+s
More,4.5430422152808285,0.0015350791795973792,0.9265503644226284,-0.3414592651792021,-0.1008616998828432,-0.07741117149409144,More
than,24.20695843852295,0.20270821162129576,-0.22287684194142554,-2.0145025166786703,-0.20039101320641417,-0.25112956265720804,than
more than,4.874839055399969,0.06427191474152388,1.3796761990439044,-0.4119494756933402,-0.3067696804560265,-0.27802441765980207,more than
million,6.6528459522378585,0.027007026355571267,1.0615293759395967,-0.7229071119258048,-0.13990655436687963,-0.13394278035890617,million
than million,4.486961375985775,-0.010810284563939837,1.4553983828249368,-0.3290381050404646,-0.22258231712097795,-0.19379384846256312,than million
brace,3.213826099177708,-0.07028891958407016,1.2979831574199343,0.004675455370671894,-0.12186736964981598,-0.07837443380988367,brace
million brace,3.213826099177708,-0.07028891958407016,1.2979831574199343,0.004675455370671894,-0.12186736964981598,-0.07837443380988367,million brace
for,45.699865906944225,0.13664121813420557,-1.3489418998698868,-0.4734146955823752,-0.07719137263737047,-0.14313613918336493,for
brace for,3.2076090028772053,-0.07962134583158785,1.3076276631435009,0.006611813254624519,-0.11334359014449773,-0.07023477017199821,brace for
tornadoes,4.277988548866827,-0.05821374897305381,1.4856080621500365,-0.28134531997285167,-0.17164962572373718,-0.14277061768668128,tornadoes
for tornado+es,3.208876707697317,-0.08420913371921286,1.3125016677184198,0.006216673331062611,-0.10914441920296056,-0.0663029194101519,for tornado+es
destructive,3.2263256437489227,-0.09292453334560714,1.3221449307808848,0.0007936958204376436,-0.1009962647774002,-0.058941652796645726,destructive
tornado+es destructiv+e,3.2263256437489227,-0.09292453334560714,1.3221449307808848,0.0007936958204376436,-0.1009962647774002,-0.058941652796645726,tornado+es destructiv+e
winds,15.694598307973415,0.10342156489582743,-0.24233503388217842,-1.5811789824015987,-0.056023007832050976,-0.08969132921293797,winds
destructiv+e wind+s,3.2616757217797883,-0.09858032486648283,1.3287404740551767,-0.010103474464243655,-0.09525703445078616,-0.054161486053030235,destructiv+e wind+s
fall,5.081772981902498,-0.03267726571494618,0.899251582104983,-0.45352259895077857,-0.035846005463733385,-0.04518656157787788,fall
wind+s fall,3.2973256591983335,-0.10120367090072731,1.33180006137813,-0.02097411967763161,-0.09212531726973354,-0.051832292291444204,wind+s fall
storm,6.242837493065301,-0.11579805603402189,1.7322431505060658,-0.6592971915428094,-0.16936553760909867,-0.16615342663679727,storm
fall storm,3.3204545089075532,-0.10220843467793125,1.3328797677322475,-0.02796405989721175,-0.09066677216274031,-0.05085590431716076,fall storm
pounds,3.3515094513473636,-0.10304475230132928,1.3335911164257783,-0.03727321291235976,-0.0891110386282837,-0.04991797801249105,pounds
storm pound+s,3.3515094513473636,-0.10304475230132928,1.3335911164257783,-0.03727321291235976,-0.0891110386282837,-0.04991797801249105,storm pound+s
South,7.60808492877436,0.011216290887694774,0.5259808026869601,-0.8570738743343375,-0.011629119239120687,-0.04866497343426737,South
pound+s south,3.3926890348043797,-0.10355060890483554,1.333569458394647,-0.04948521862665067,-0.08749878156677543,-0.04908816879178143,pound+s south
Warm,3.432752553223359,-0.10359780599907716,1.3327426767825794,-0.06122481906855002,-0.08624210512699075,-0.048563395285501514,Warm
south warm,3.432752553223359,-0.10359780599907716,1.3327426767825794,-0.06122481906855002,-0.08624210512699075,-0.048563395285501514,south warm
humid,3.477887984452076,-0.10328717044200046,1.3310579816883288,-0.07428759459333628,-0.08506229331891844,-0.04818161726575473,humid
warm humid,3.477887984452076,-0.10328717044200046,1.3310579816883288,-0.07428759459333628,-0.08506229331891844,-0.04818161726575473,warm humid
air,12.025533192459266,0.059803146178032986,0.10233405054725436,-1.3148945414035167,-0.027709371050081793,-0.05351901465683324,air
humid air,3.528959444474572,-0.10260264687846028,1.3283631533311764,-0.0888654386195946,-0.083925196317683,-0.04792017978191203,humid air
surging,3.5668626482881227,-0.1019236343242462,1.325904272251067,-0.099548785473766,-0.08317398831767767,-0.04780294049813059,surging
air surging,3.5668626482881227,-0.1019236343242462,1.325904272251067,-0.099548785473766,-0.08317398831767767,-0.04780294049813059,air surging
north,3.653971680446691,-0.09996605414149436,1.3190181822742915,-0.12367709370296173,-0.08163891658964045,-0.04768109427335775,north
surging north,3.653971680446691,-0.09996605414149436,1.3190181822742915,-0.12367709370296173,-0.08163891658964045,-0.04768109427335775,surging north
north from,3.731684873486829,-0.09788792927676776,1.3116663253507606,-0.14472222644110497,-0.08040924327739245,-0.047667388335018934,north from
from the,9.89620249596183,0.047919190515494675,0.34833817911166715,-1.120013483351474,-0.04208931142774409,-0.05647106207544603,from the
Gulf,7.471053043173487,0.010697900718713451,0.6394168528653963,-0.8388983449098881,-0.03995623845000523,-0.042597534684042156,Gulf
the gulf,7.471053043173487,0.010697900718713451,0.6394168528653963,-0.8388983449098881,-0.03995623845000523,-0.042597534684042156,the gulf
Mexico,6.626081749279703,-0.006052608142366901,0.7805255145469241,-0.7188760275186687,-0.045034750705055714,-0.042222343044494584,Mexico
gulf mexico,4.045234551032035,-0.08792037096583095,1.2739996217487741,-0.22540192031681894,-0.07598535791443278,-0.04780081511333654,gulf mexico
collided,4.2448723103160235,-0.08106246173590687,1.2457059608505348,-0.27357412535655784,-0.07335454421459509,-0.047826050589911684,collided
mexico collided,4.2448723103160235,-0.08106246173590687,1.2457059608505348,-0.27357412535655784,-0.07335454421459509,-0.047826050589911684,mexico collided
with,40.793770933349364,0.10125407505446223,0.3766792683553233,-2.5363917826175975,-0.0675916787304262,-0.16518784301843184,with
collided with,4.634139409201938,-0.06777986420494014,1.1858236326644696,-0.36131289561144636,-0.06850261810705614,-0.04769702987470885,collided with
powerful,6.253275461897313,-0.01973440070922022,0.9099443364409389,-0.660967786438555,-0.0525122451623593,-0.0467648412113272,powerful
with powerful,5.170283604029135,-0.05083033486230198,1.100122194086602,-0.47078992879289194,-0.06253993805441584,-0.04742086525975605,with powerful
powerful cold,7.2711785440173236,-0.00230217392435116,0.7930016185409026,-0.8117807750662226,-0.04724715213804316,-0.04840911061446378,powerful cold
sweeping,9.785041225517583,0.01806820990026528,0.5438709340086572,-1.108717200038749,0.002075293146857893,-0.08006248320693884,sweeping
front sweeping,7.613444792560491,-0.02591842590928164,0.7948100119658608,-0.8577781220815455,0.02059113207333118,-0.07425605749426017,front sweeping
