,Hazard,Adaptation,Causes,Impacts,Mitigation,Invalid
2025-12-07,0.9,0.0,0.0,0.0,0.0,1.5
2025-12-08,3.6,0.0,0.0,0.0,0.0,2.2
2025-12-09,4.9,0.0,0.0,0.0,0.0,3.5
2025-12-10,3.75,0.0,0.0,0.0,0.0,4.2
2025-12-11,3.3,0.0,0.0,0.0,0.0,4.9
2025-12-12,1.5,0.0,0.6,0.0,0.0,5.8999999999999995
2025-12-13,1.8,0.0,0.0,0.0,0.0,1.5
2025-12-14,0.0,0.0,0.9,0.0,0.0,1.4
2025-12-15,2.0999999999999996,0.0,0.0,0.0,0.7,3.5
2025-12-16,6.6000000000000005,0.0,0.0,0.0,0.0,11.4
2025-12-17,3.0,0.0,0.0,0.0,0.0,8.0
2025-12-18,0.7,0.9,0.0,0.0,1.8,7.9
2025-12-19,2.7,0.0,0.0,0.0,0.0,7.1000000000000005
2025-12-20,2.3,0.55,0.0,0.0,0.0,6.4
2025-12-21,1.7000000000000002,0.0,0.0,0.0,0.9,5.700000000000001
2025-12-22,0.9,0.0,0.0,0.0,0.0,5.7
2025-12-23,0.7,0.0,0.0,0.0,0.0,10.2
2025-12-24,3.6,0.0,0.0,0.0,0.0,8.700000000000001
2025-12-25,0.0,0.0,0.0,0.0,0.0,2.2
2025-12-26,1.6,0.0,0.0,0.0,0.0,5.6000000000000005
2025-12-27,0.9,0.0,2.5,0.0,0.0,1.4
2025-12-28,1.2999999999999998,0.0,0.0,0.0,0.0,3.5
2025-12-29,2.5,0.0,3.5,0.0,0.9,11.999999999999998
2025-12-30,0.0,0.8,0.7,0.0,0.0,4.9
2025-12-31,8.100000000000001,0.0,0.0,0.0,0.0,4.9
2026-01-01,0.8,0.0,0.0,0.0,0.0,5.1000000000000005
2026-01-02,2.5,0.0,0.0,0.0,0.0,7.1000000000000005
2026-01-03,0.7,0.0,0.0,0.0,0.9,2.0999999999999996
2026-01-04,0.0,0.0,0.0,0.0,0.0,2.9000000000000004
2026-01-05,0.9,0.0,0.0,0.9,0.0,5.6000000000000005
2026-01-06,5.1000000000000005,0.0,0.0,0.0,0.0,9.299999999999999
2026-01-07,8.7,0.0,0.0,0.0,0.8,10.7
2026-01-08,1.8,0.0,0.9,0.0,0.8,8.4
2026-01-09,5.4,0.0,0.7,0.0,0.0,6.500000000000001
2026-01-10,6.100000000000001,0.0,0.0,0.0,0.9,2.2
2026-01-11,4.4,0.0,0.0,0.0,0.0,2.8
2026-01-12,1.35,0.0,0.9,0.9,0.0,8.4
2026-01-13,8.3,0.0,0.0,0.9,0.0,2.0999999999999996
2026-01-14,1.6,0.0,0.9,0.0,0.0,4.2
2026-01-15,4.9,0.0,0.7,0.0,0.0,5.0
2026-01-16,8.0,0.0,0.0,0.0,0.0,14.999999999999996
2026-01-17,1.6,0.0,0.9,0.0,0.0,5.6000000000000005
2026-01-18,7.000000000000001,0.0,0.0,0.0,0.0,2.0999999999999996
2026-01-19,5.1000000000000005,0.0,0.0,0.0,0.0,3.5999999999999996
2026-01-20,3.9999999999999996,0.7,1.6,0.0,1.4,7.9
2026-01-21,2.5,0.0,1.5,0.0,0.0,8.5
2026-01-22,5.000000000000001,0.0,0.8,0.9,0.8,6.300000000000001
2026-01-23,9.400000000000002,0.0,0.0,0.8,0.8,14.099999999999996
2026-01-24,3.4,0.0,0.0,0.0,0.0,16.799999999999994
2026-01-25,2.5,0.0,0.0,0.0,0.0,7.800000000000001
2026-01-26,4.7,0.0,0.0,1.7000000000000002,0.0,11.6
2026-01-27,6.900000000000001,0.0,2.0999999999999996,0.8,0.0,6.300000000000001
2026-01-28,2.5,0.0,0.0,0.0,0.8,7.1000000000000005
2026-01-29,8.8,0.0,0.9,0.9,0.0,11.4
2026-01-30,7.500000000000001,0.0,0.0,0.0,0.9,8.5
2026-01-31,2.7,0.0,0.0,0.0,0.0,7.800000000000002
2026-02-01,1.8,0.0,0.0,0.0,0.0,2.0999999999999996
2026-02-02,6.1000000000000005,0.0,0.6,0.0,0.0,6.500000000000001
2026-02-03,0.7,0.0,1.7000000000000002,0.7,0.0,8.5
2026-02-04,4.2,0.0,0.0,0.0,0.0,11.199999999999998
2026-02-05,3.5,0.0,0.0,0.7,0.0,5.0
2026-02-06,4.8,0.0,0.0,0.7,0.0,9.3
2026-02-07,2.7,0.0,0.0,0.0,0.0,4.2
2026-02-08,3.4,0.0,0.0,0.0,0.6,3.7
2026-02-09,7.2,0.0,0.0,0.9,0.0,8.4
2026-02-10,3.5,0.0,2.6,0.8,0.0,9.200000000000001
2026-02-11,2.5,0.0,0.0,0.0,0.8,8.600000000000001
2026-02-12,3.1999999999999997,0.0,0.0,0.7,0.0,10.0
2026-02-13,3.6,0.0,0.0,0.0,0.0,14.099999999999996
2026-02-14,0.7,0.0,0.9,0.0,0.0,1.5
2026-02-15,0.7,0.8,0.0,0.0,0.0,4.4
2026-02-16,2.5,0.6,0.8,0.0,0.0,8.0
2026-02-17,5.300000000000001,0.0,1.4,0.0,0.0,6.5
2026-02-18,3.6,0.0,0.0,0.0,0.0,5.7
2026-02-19,0.0,0.0,0.0,0.0,0.0,4.2
2026-02-20,2.7,0.0,0.0,0.0,0.0,3.5
2026-02-21,0.0,0.0,0.0,0.0,0.0,3.5999999999999996
2026-02-22,1.6,0.0,0.8,0.0,0.0,4.2
2026-02-23,3.6,0.0,0.0,0.0,0.0,4.2
2026-02-24,1.8,0.0,0.7,0.0,0.8,6.300000000000001
2026-02-25,2.7,0.0,0.0,0.0,0.0,7.700000000000001
2026-02-26,0.9,0.0,0.0,0.0,0.0,5.1000000000000005
2026-02-27,1.7000000000000002,0.8,0.0,0.0,0.0,4.9
2026-02-28,0.9,0.0,0.0,0.0,0.8,2.8
2026-03-01,3.5,0.0,0.0,0.0,0.0,5.6000000000000005
2026-03-02,0.9,0.0,0.0,0.0,0.0,5.0
2026-03-03,1.6,0.0,0.0,0.0,0.0,8.500000000000002
2026-03-04,1.6,0.0,0.0,0.0,0.0,5.7
2026-03-05,0.7,0.0,0.7,0.0,0.0,11.399999999999997
2026-03-06,1.7000000000000002,0.0,0.8,0.0,0.9,3.5
2026-03-07,0.0,0.0,2.3,0.0,0.0,5.1
2026-03-08,0.0,0.0,0.9,0.0,0.0,4.4
2026-03-09,0.0,0.0,0.0,0.0,0.0,4.3
2026-03-10,1.8,0.0,0.9,0.0,0.0,9.399999999999999
2026-03-11,0.0,0.0,0.9,0.9,0.0,3.7
2026-03-12,0.7,0.0,0.0,0.0,0.0,13.899999999999999
2026-03-13,0.0,0.0,0.0,0.0,0.0,7.800000000000001
2026-03-14,0.8,0.0,0.0,0.0,0.0,3.5
2026-03-15,0.0,0.0,1.8,0.0,0.0,2.0999999999999996
2026-03-16,0.8,0.0,0.6,0.0,0.0,10.9
2026-03-17,1.6,0.0,0.0,0.0,0.9,12.5
2026-03-18,0.0,0.0,1.8,0.0,0.0,5.2
2026-03-19,0.9,0.0,0.0,0.0,0.0,6.300000000000001
2026-03-20,0.0,0.0,0.0,0.0,0.0,4.3
2026-03-21,0.9,0.0,0.0,0.0,0.0,3.5
2026-03-22,0.0,0.0,0.0,0.0,0.0,1.5
2026-03-23,0.9,0.0,0.0,0.0,0.0,2.0999999999999996
2026-03-24,0.0,0.0,0.9,0.0,0.0,2.2
2026-03-25,0.0,0.0,0.0,0.0,0.0,3.0
2026-03-26,0.0,0.0,0.0,0.0,0.0,2.2
2026-03-27,0.0,0.0,0.0,0.0,0.0,0.7
2026-03-30,0.0,0.0,0.0,0.0,0.0,1.4
2026-03-31,0.0,0.0,0.0,0.0,0.0,2.0999999999999996
2026-04-01,0.8,0.0,0.0,0.0,0.0,2.0999999999999996
2026-04-02,0.0,0.0,0.0,0.0,0.0,2.2
2026-04-03,0.6,0.0,0.0,0.0,0.0,2.0999999999999996
2026-04-04,0.0,0.0,0.0,0.0,0.0,0.7
2026-04-05,0.0,0.0,0.0,0.0,0.0,2.3
2026-04-06,0.0,0.0,0.0,0.0,0.0,1.4
2026-04-07,0.0,0.0,0.0,0.0,0.0,2.3
2026-04-08,0.0,0.0,0.0,0.0,0.0,1.4
2026-04-09,0.0,0.0,0.0,0.0,0.0,2.0999999999999996
2026-04-10,0.9,0.0,0.0,0.0,0.0,3.5
2026-04-11,0.6,0.0,0.9,0.0,0.0,0.0
2026-04-12,0.0,0.0,0.0,0.0,0.0,5.000000000000001
2026-04-13,0.8,0.0,0.0,0.0,0.0,1.4
2026-04-14,0.8,0.0,0.0,0.0,0.0,5.9
2026-04-15,0.0,0.0,0.0,0.0,0.0,5.6000000000000005
2026-04-16,0.0,0.0,0.0,0.0,0.8,1.4
2026-04-17,0.0,0.0,0.0,0.0,0.0,0.7
